bartels_rotation_number,rigidity_min GV,rigidity_max GV,antiproton_flux m^-2sr^-1s^-1GV^-1,antiproton_flux_error_statistical m^-2sr^-1s^-1GV^-1, antiproton_flux_error_systematic_timedependent m^-2sr^-1s^-1GV^-1,antiproton_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2460,16.6,22.8,0.00085,3.1e-05,1.2e-05,3e-05
2460,22.8,41.9,0.000257,8e-06,4e-06,9e-06
2461,1.0,1.92,0.00671,0.00096,0.00033,0.00063
2461,1.92,2.97,0.0142,0.001,0.0006,0.0011
2461,2.97,4.02,0.0152,0.0011,0.0002,0.0008
2461,4.02,4.88,0.0131,0.0006,0.0001,0.0006
2461,4.88,5.9,0.0113,0.0004,0.0001,0.0005
2461,5.9,7.09,0.00963,0.00034,0.00018,0.00044
2461,7.09,8.48,0.00601,0.00022,8e-05,0.00025
2461,8.48,11.0,0.00448,0.00013,5e-05,0.00018
2461,11.0,16.6,0.00215,6e-05,2e-05,8e-05
2461,16.6,22.8,0.00087,3e-05,8e-06,2.9e-05
2461,22.8,41.9,0.000238,7e-06,4e-06,8e-06
2462,1.0,1.92,0.00599,0.00089,0.00029,0.00056
2462,1.92,2.97,0.0134,0.001,0.0006,0.0011
2462,2.97,4.02,0.0146,0.001,0.0002,0.0008
2462,4.02,4.88,0.0138,0.0006,0.0001,0.0006
2462,4.88,5.9,0.0116,0.0004,0.0001,0.0005
2462,5.9,7.09,0.00945,0.00033,0.00013,0.00041
2462,7.09,8.48,0.00647,0.00022,8e-05,0.00027
2462,8.48,11.0,0.00432,0.00013,4e-05,0.00017
2462,11.0,16.6,0.00196,5e-05,2e-05,7e-05
2462,16.6,22.8,0.000852,2.9e-05,1.4e-05,3.1e-05
2462,22.8,41.9,0.000248,7e-06,4e-06,8e-06
2463,1.0,1.92,0.00614,0.00097,0.00029,0.00057
2463,1.92,2.97,0.0136,0.0011,0.0006,0.0011
2463,2.97,4.02,0.0148,0.0011,0.0002,0.0008
2463,4.02,4.88,0.0125,0.0006,0.0001,0.0006
2463,4.88,5.9,0.0119,0.0005,0.0001,0.0005
2463,5.9,7.09,0.00871,0.00033,0.00015,0.00039
2463,7.09,8.48,0.00637,0.00023,6e-05,0.00026
2463,8.48,11.0,0.00425,0.00013,4e-05,0.00017
2463,11.0,16.6,0.00211,6e-05,2e-05,8e-05
2463,16.6,22.8,0.000831,3e-05,1.7e-05,3.2e-05
2463,22.8,41.9,0.000252,8e-06,4e-06,8e-06
2464,1.0,1.92,0.0064,0.00091,0.00031,0.0006
2464,1.92,2.97,0.0128,0.001,0.0006,0.001
2464,2.97,4.02,0.0107,0.001,0.0003,0.0006
2464,4.02,4.88,0.0128,0.0005,0.0001,0.0006
2464,4.88,5.9,0.0114,0.0004,0.0001,0.0005
2464,5.9,7.09,0.00884,0.00033,0.00017,0.0004
2464,7.09,8.48,0.00631,0.00022,5e-05,0.00026
2464,8.48,11.0,0.00414,0.00012,3e-05,0.00016
2464,11.0,16.6,0.00205,5e-05,1e-05,7e-05
2464,16.6,22.8,0.000868,3e-05,1.3e-05,3.1e-05
2464,22.8,41.9,0.000248,8e-06,4e-06,8e-06
2465,1.0,1.92,0.00586,0.00094,0.00029,0.00055
2465,1.92,2.97,0.0118,0.001,0.0005,0.0009
