NAME,RA,DEC,TRIGGER_TIME,T90,T90_ERROR,FLUENCE,FLUENCE_ERROR,T50,T50_ERROR,TRIGGER_NAME
GRB160908136                  ,241.51,2.39,57639.135692646,156.672,21.722,2.8305e-06,9.5033e-08,102.912,4.7,"bn160908136
"
GRB230305052                  ,31.45,2.41,60008.052263061,34.816,1.305,2.559e-06,2.594e-08,24.576,0.572,"bn230305052
"
GRB141206254                  ,320.56,2.42,56997.254070718,4.608,1.557,5.366e-07,2.8533e-08,2.048,0.724,"bn141206254
"
GRB200407265                  ,278.11,2.43,58946.265294925,3.072,0.5,6.6105e-07,1.2661e-08,1.216,0.143,"bn200407265
"
GRB201007123                  ,296.95,2.56,59129.122663977,195.332,1.493,2.1519e-05,7.1811e-08,75.778,0.923,"bn201007123
"
GRB091227294                  ,296.94,2.6,55192.293904928,21.888,0.889,6.8894e-06,1.1012e-07,7.232,0.792,"bn091227294
"
GRB220823145                  ,82.94,2.44,59814.145050759,1.088,0.771,2.1966e-07,2.5368e-08,0.448,0.231,"bn220823145
"
GRB210929821                  ,262.95,2.44,59486.82109272,10.752,8.208,3.6173e-07,1.8581e-08,1.28,0.81,"bn210929821
"
GRB110726211                  ,317.71,2.47,55768.211105177,29.953,10.608,4.3614e-06,9.6723e-08,13.312,0.923,"bn110726211
"
GRB220810969                  ,309.35,2.66,59801.969237048,8.96,0.362,6.7868e-06,3.0101e-08,3.84,0.362,"bn220810969
"
GRB180718082                  ,336.019,2.79,58317.081766214,0.08,0.182,8.5834e-08,1.7351e-08,0.032,0.045,"bn180718082
"
GRB130929375                  ,200.93,2.8,56564.375150527,2.304,0.487,3.2263e-07,1.3956e-08,1.152,0.231,"bn130929375
"
GRB130117087                  ,341.24,2.81,56309.08693779,78.848,2.636,2.8491e-06,3.5373e-08,30.464,1.28,"bn130117087
"
GRB160314473                  ,161.99,2.83,57461.473211666,1.664,0.73,1.3226e-07,1.7682e-08,0.192,0.607,"bn160314473
"
GRB190323303                  ,142.07,2.84,58565.303376019,30.465,4.612,1.1369e-05,7.6909e-08,14.208,0.487,"bn190323303
"
GRB180111815                  ,177.17,2.9,58129.815283511,19.2,2.202,1.7352e-06,3.7708e-08,7.168,1.145,"bn180111815
"
GRB220129873                  ,244.35,2.9,59608.873268577,2.048,2.064,2.6005e-07,3.3256e-08,0.768,0.724,"bn220129873
"
GRB110302043                  ,122.35,2.91,55622.042959864,38.336,2.509,3.7301e-06,6.045e-08,11.392,1.105,"bn110302043
"
GRB150412507                  ,186.79,2.91,57124.507369695,0.576,1.319,1.2957e-07,1.2244e-08,0.256,0.231,"bn150412507
"
GRB080829790                  ,221.9,3.2,54707.790004866,7.68,0.377,2.525e-06,2.1827e-08,3.52,0.264,"bn080829790
"
GRB180728575                  ,222.35,3.26,58327.575259722,6.144,2.111,1.3343e-06,2.8224e-08,2.048,0.572,"bn180728575
"
GRB100616773                  ,342.91,3.09,55363.77260296,0.192,0.143,2.7583e-07,1.7306e-08,0.128,0.091,"bn100616773
"
GRB090331681                  ,210.5,3.1,54921.680791496,0.832,0.143,3.4457e-07,3.456e-08,0.704,0.181,"bn090331681
"
GRB190905985                  ,234.48,3.12,58731.985051952,0.704,1.032,5.5119e-07,1.9944e-08,0.256,0.202,"bn190905985
"
GRB241016467                  ,8.76,3.14,60599.467131141,0.832,0.82,3.1715e-07,1.2051e-08,0.064,0.231,"bn241016467
"
