CLASS,DEC_Counterpart,Energy_Flux100,Flux1000,Frac_Variability,LP_Index,PL_Index,RAJ2000,RA_Counterpart,Redshift,SED_class,Source_Name,Unc_Energy_Flux100,Unc_Flux1000,Unc_Frac_Variability,Unc_LP_Index,Unc_PL_Index,Variability_Index
b'fsrq',-24.4438740306,1.7983823e-12,2.514468e-10,0.0,2.122121,2.268972,94.5325,94.5943967833,0.2995,b'ISP',b'4FGL J0618.1-2428',4.193528e-13,4.098992e-11,10.0,0.20247607,0.11867311,9.342639
b'bcu',-11.681914329528809,4.7583088e-12,3.2753722e-10,0.49229008,2.416498,2.4883976,94.7482,94.76709747314453,0.97,b'LSP',b'4FGL J0618.9-1138',9.583423e-13,5.5489523e-11,0.2609755,0.18188179,0.12233384,18.423632
b'bcu',57.59694290161133,9.777081e-13,8.6201137e-11,0.0,1.6180027,2.176204,95.018,94.95654296875,-inf,,b'4FGL J0620.0+5733',3.5801058e-13,2.718766e-11,10.0,0.6133432,0.25104767,7.511154
b'bcu',38.0905217583,3.5924746e-12,2.3456942e-10,0.0,2.5585835,2.5320432,95.0788,95.0755727,-inf,,b'4FGL J0620.3+3804',9.008888e-13,4.7003054e-11,10.0,0.16610016,0.13089411,8.249382
b'bcu',-25.254857075,7.832742e-12,5.1472787e-10,0.6636755,2.6408947,2.6120958,95.1445,95.1338207625,1.9,b'LSP',b'4FGL J0620.5-2512',7.026307e-13,4.6838936e-11,0.15456705,0.07578022,0.051274434,128.08601
b'bcu',-46.83290100097656,2.1297259e-12,1.1292797e-10,0.0,2.6159856,2.6830707,95.3015,95.33098602294922,-inf,b'ISP',b'4FGL J0621.2-4648',3.89053e-13,2.5724173e-11,10.0,0.1959159,0.1380987,9.464149
b'bcu',-22.228534698486328,2.4432344e-12,2.0250512e-10,0.5384366,2.2489886,2.2919111,95.3137,95.29263305664062,-inf,,b'4FGL J0621.2-2213',4.025788e-13,3.2868895e-11,0.25743166,0.16019282,0.11299148,19.511274
b'bll',-34.1968994140625,1.6093515e-12,1.4432111e-10,0.0,2.0146909,2.1110318,95.4325,95.45670318603516,0.529,b'HSP',b'4FGL J0621.7-3411',4.0325688e-13,3.4499424e-11,10.0,0.26497614,0.173778,6.4713836
b'bll',-26.0957334139,2.1424737e-11,2.0215363e-09,0.437988,1.8005332,1.881172,95.5956,95.5919319625,0.414487,b'HSP',b'4FGL J0622.3-2605',1.0194561e-12,7.636758e-11,0.10127738,0.04061919,0.026273632,139.32582
b'fsrq',-64.6057561917,2.5027467e-12,6.8066955e-11,0.1861338,3.0861561,3.075706,95.6141,95.7820679875,0.128889,b'LSP',b'4FGL J0622.4-6433',4.52023e-13,2.2154997e-11,0.2645689,0.14141265,0.17275009,13.837941
b'bcu',-41.7329919167,1.8761138e-12,3.4752778e-10,0.0,1.9028548,2.2339838,95.6925,95.6770618875,-inf,,b'4FGL J0622.7-4141',2.9837534e-13,4.077503e-11,10.0,0.19352373,0.08552339,9.932422
b'bcu',-30.1644736444,3.0265072e-12,1.915508e-10,0.69078,2.495851,2.5565145,95.7646,95.79811345,-inf,,b'4FGL J0623.0-3010',4.741665e-13,3.2770904e-11,0.21743426,0.15712981,0.1078139,32.22171
b'bcu',-33.8374337278,9.599918e-12,1.0727907e-09,1.3299524,2.2074213,2.2965093,95.9417,95.9162940583,-inf,,b'4FGL J0623.7-3348',6.722301e-13,6.008454e-11,0.28783017,0.05874945,0.036791284,495.83295
b'bll',-52.96609878540039,2.436522e-12,2.184517e-10,0.35690683,2.0231159,2.0111184,95.9824,95.90789794921875,0.44,,b'4FGL J0623.9-5259',3.4231222e-13,3.0985495e-11,0.2733976,0.10985412,0.106299385,16.86832
b'bcu',-63.46561050415039,9.989647e-13,8.977884e-11,0.0,1.7564545,2.094494,96.0406,96.02729034423828,-inf,,b'4FGL J0624.1-6330',2.8404994e-13,2.4952145e-11,10.0,0.3391834,0.20574209,11.567889
b'bcu',-29.74694061279297,1.457641e-12,1.300314e-10,0.0,1.9807093,1.9862305,96.0616,96.09291076660156,-inf,b'HSP',b'4FGL J0624.2-2943',3.430808e-13,3.230012e-11,10.0,0.17068373,0.16858174,9.319608
