date YYY-MM-DD,rigidity_min GV,rigidity_max GV,electron_flux m^-2sr^-1s^-1GV^-1,electron_flux_error_statistical m^-2sr^-1s^-1GV^-1,electron_flux_error_timedependent m^-2sr^-1s^-1GV^-1
4.02,5.9,1.817,0.019,0.018,0.027
5.9,7.09,0.8017,0.0127,0.008,0.0119
7.09,8.48,0.4564,0.0082,0.0046,0.0068
8.48,11.0,0.2355,0.0042,0.0024,0.0035
11.0,16.6,0.08386,0.00159,0.00084,0.00125
16.6,22.8,0.02552,0.00073,0.00026,0.00038
22.8,41.9,0.00582,0.000164,5.8e-05,8.7e-05
1.0,1.71,18.43,1.12,0.37,0.53
1.71,2.97,9.489,0.083,0.142,0.201
2.97,4.02,4.163,0.046,0.042,0.068
4.02,5.9,1.786,0.017,0.018,0.027
5.9,7.09,0.8074,0.0118,0.0081,0.012
7.09,8.48,0.4543,0.0076,0.0045,0.0068
8.48,11.0,0.2351,0.0039,0.0024,0.0035
11.0,16.6,0.08353,0.00145,0.00084,0.00124
16.6,22.8,0.02486,0.00065,0.00025,0.00037
22.8,41.9,0.005922,0.000149,5.9e-05,8.8e-05
1.0,1.71,19.12,0.57,0.38,0.55
1.71,2.97,9.51,0.089,0.143,0.202
2.97,4.02,4.159,0.047,0.042,0.068
4.02,5.9,1.781,0.018,0.018,0.026
5.9,7.09,0.7892,0.0118,0.0079,0.0117
7.09,8.48,0.4596,0.0077,0.0046,0.0068
8.48,11.0,0.2389,0.0039,0.0024,0.0036
11.0,16.6,0.08246,0.00146,0.00082,0.00123
16.6,22.8,0.02552,0.00067,0.00026,0.00038
22.8,41.9,0.005598,0.000148,5.6e-05,8.3e-05
1.0,1.71,19.58,0.45,0.39,0.57
1.71,2.97,9.744,0.079,0.146,0.207
2.97,4.02,4.355,0.045,0.044,0.071
4.02,5.9,1.871,0.018,0.019,0.028
5.9,7.09,0.8332,0.0119,0.0083,0.0124
7.09,8.48,0.4715,0.0077,0.0047,0.007
8.48,11.0,0.2452,0.0039,0.0025,0.0036
11.0,16.6,0.08338,0.00146,0.00083,0.00124
16.6,22.8,0.02452,0.00065,0.00025,0.00036
22.8,41.9,0.005945,0.000152,5.9e-05,8.8e-05
1.0,1.71,21.18,0.65,0.42,0.61
1.71,2.97,9.887,0.078,0.148,0.21
2.97,4.02,4.44,0.044,0.044,0.073
4.02,5.9,1.855,0.017,0.019,0.028
5.9,7.09,0.8031,0.0112,0.008,0.012
7.09,8.48,0.4873,0.0075,0.0049,0.0072
8.48,11.0,0.2444,0.0038,0.0024,0.0036
11.0,16.6,0.08506,0.00142,0.00085,0.00126
16.6,22.8,0.02596,0.00066,0.00026,0.00039
22.8,41.9,0.005831,0.000147,5.8e-05,8.7e-05
1.0,1.71,19.29,1.09,0.39,0.56
1.71,2.97,9.635,0.076,0.145,0.204
2.97,4.02,4.243,0.042,0.042,0.07
4.02,5.9,1.826,0.016,0.018,0.027
5.9,7.09,0.7971,0.0111,0.008,0.0118
7.09,8.48,0.4832,0.0074,0.0048,0.0072
8.48,11.0,0.2408,0.0037,0.0024,0.0036
11.0,16.6,0.08168,0.00137,0.00082,0.00121
16.6,22.8,0.02542,0.00063,0.00025,0.00038
22.8,41.9,0.005522,0.00014,5.5e-05,8.2e-05
1.0,1.71,19.82,0.6,0.4,0.57
1.71,2.97,9.253,0.081,0.139,0.196
2.97,4.02,4.143,0.045,0.041,0.068
4.02,5.9,1.807,0.017,0.018,0.027
5.9,7.09,0.8034,0.0118,0.008,0.0119
7.09,8.48,0.4621,0.0076,0.0046,0.0069
8.48,11.0,0.2324,0.0039,0.0023,0.0035
11.0,16.6,0.08241,0.00145,0.00082,0.00123
16.6,22.8,0.02439,0.00065,0.00024,0.00036
22.8,41.9,0.006071,0.000153,6.1e-05,9e-05
1.0,1.71,20.24,0.88,0.4,0.59
1.71,2.97,10.06,0.08,0.15,0.21
2.97,4.02,4.298,0.043,0.043,0.07
4.02,5.9,1.843,0.017,0.018,0.027
5.9,7.09,0.8398,0.0124,0.0084,0.0125
7.09,8.48,0.4781,0.0081,0.0048,0.0071
8.48,11.0,0.237,0.0041,0.0024,0.0035
11.0,16.6,0.08575,0.00158,0.00086,0.00127
16.6,22.8,0.02414,0.00071,0.00024,0.00036
22.8,41.9,0.005794,0.000164,5.8e-05,8.6e-05
1.0,1.71,21.28,0.62,0.43,0.62
1.71,2.97,10.28,0.08,0.15,0.22
2.97,4.02,4.346,0.045,0.043,0.071
4.02,5.9,1.854,0.017,0.019,0.028
5.9,7.09,0.8321,0.0115,0.0083,0.0124
7.09,8.48,0.4693,0.0074,0.0047,0.007
8.48,11.0,0.2462,0.0038,0.0025,0.0037
11.0,16.6,0.08612,0.00144,0.00086,0.00128
16.6,22.8,0.02519,0.00064,0.00025,0.00037
22.8,41.9,0.005941,0.000149,5.9e-05,8.8e-05
1.0,1.71,21.33,0.64,0.43,0.62
1.71,2.97,10.53,0.08,0.16,0.22
2.97,4.02,4.502,0.043,0.045,0.074
4.02,5.9,1.911,0.017,0.019,0.028
5.9,7.09,0.8365,0.0114,0.0084,0.0124
7.09,8.48,0.4896,0.0075,0.0049,0.0073
8.48,11.0,0.2442,0.0038,0.0024,0.0036
11.0,16.6,0.08874,0.00145,0.00089,0.00132
16.6,22.8,0.02544,0.00064,0.00025,0.00038
22.8,41.9,0.005908,0.000147,5.9e-05,8.8e-05
1.0,1.71,22.14,0.45,0.44,0.64
1.71,2.97,10.09,0.07,0.15,0.21
2.97,4.02,4.403,0.042,0.044,0.072
4.02,5.9,1.843,0.016,0.018,0.027
5.9,7.09,0.8123,0.0112,0.0081,0.0121
7.09,8.48,0.4674,0.0073,0.0047,0.0069
8.48,11.0,0.2444,0.0038,0.0024,0.0036
11.0,16.6,0.08685,0.00143,0.00087,0.00129
16.6,22.8,0.02591,0.00064,0.00026,0.00039
22.8,41.9,0.00587,0.000144,5.9e-05,8.7e-05
1.0,1.71,21.39,0.52,0.43,0.62
1.71,2.97,10.31,0.08,0.15,0.22
2.97,4.02,4.492,0.047,0.045,0.074
4.02,5.9,1.92,0.018,0.019,0.029
5.9,7.09,0.8512,0.0126,0.0085,0.0127
7.09,8.48,0.4797,0.0081,0.0048,0.0071
8.48,11.0,0.2479,0.0042,0.0025,0.0037
11.0,16.6,0.08561,0.00155,0.00086,0.00127
16.6,22.8,0.02566,0.0007,0.00026,0.00038
22.8,41.9,0.005885,0.00016,5.9e-05,8.7e-05
1.0,1.71,21.16,0.65,0.42,0.61
1.71,2.97,10.22,0.08,0.15,0.22
2.97,4.02,4.435,0.044,0.044,0.073
4.02,5.9,1.887,0.017,0.019,0.028
5.9,7.09,0.8253,0.0117,0.0083,0.0123
7.09,8.48,0.4937,0.0078,0.0049,0.0073
8.48,11.0,0.2416,0.0039,0.0024,0.0036
11.0,16.6,0.08328,0.00145,0.00083,0.00124
16.6,22.8,0.02494,0.00065,0.00025,0.00037
22.8,41.9,0.0057,0.000148,5.7e-05,8.5e-05
1.0,1.71,20.93,0.5,0.42,0.61
1.71,2.97,9.961,0.074,0.15,0.211
2.97,4.02,4.278,0.043,0.043,0.07
4.02,5.9,1.812,0.018,0.018,0.027
5.9,7.09,0.8177,0.0125,0.0082,0.0122
7.09,8.48,0.4731,0.0083,0.0047,0.007
8.48,11.0,0.2317,0.0042,0.0023,0.0034
11.0,16.6,0.08418,0.00161,0.00084,0.00125
16.6,22.8,0.02551,0.00075,0.00026,0.00038
22.8,41.9,0.005537,0.000165,5.5e-05,8.2e-05
1.0,1.71,21.15,0.48,0.42,0.61
1.71,2.97,9.923,0.076,0.149,0.21
2.97,4.02,4.299,0.042,0.043,0.071
4.02,5.9,1.791,0.016,0.018,0.027
5.9,7.09,0.8106,0.0114,0.0081,0.0121
7.09,8.48,0.4809,0.0076,0.0048,0.0071
8.48,11.0,0.2368,0.0038,0.0024,0.0035
11.0,16.6,0.08241,0.00144,0.00082,0.00123
16.6,22.8,0.02469,0.00065,0.00025,0.00037
22.8,41.9,0.005416,0.000145,5.4e-05,8.1e-05
1.0,1.71,21.87,0.8,0.44,0.63
1.71,2.97,10.08,0.07,0.15,0.21
2.97,4.02,4.35,0.041,0.044,0.071
4.02,5.9,1.846,0.016,0.018,0.027
5.9,7.09,0.8331,0.0112,0.0083,0.0124
7.09,8.48,0.4722,0.0073,0.0047,0.007
8.48,11.0,0.2363,0.0037,0.0024,0.0035
11.0,16.6,0.08075,0.00136,0.00081,0.0012
16.6,22.8,0.02486,0.00062,0.00025,0.00037
22.8,41.9,0.006029,0.000147,6e-05,9e-05
1.0,1.71,21.58,0.58,0.43,0.63
1.71,2.97,10.29,0.07,0.15,0.22
2.97,4.02,4.316,0.041,0.043,0.071
4.02,5.9,1.866,0.016,0.019,0.028
5.9,7.09,0.8388,0.0111,0.0084,0.0125
7.09,8.48,0.4829,0.0073,0.0048,0.0072
8.48,11.0,0.2472,0.0037,0.0025,0.0037
11.0,16.6,0.08394,0.00137,0.00084,0.00125
16.6,22.8,0.02527,0.00063,0.00025,0.00038
22.8,41.9,0.005882,0.000144,5.9e-05,8.7e-05
1.0,1.71,22.47,0.78,0.45,0.65
1.71,2.97,10.25,0.08,0.15,0.22
2.97,4.02,4.447,0.043,0.044,0.073
4.02,5.9,1.876,0.016,0.019,0.028
5.9,7.09,0.8317,0.0113,0.0083,0.0124
7.09,8.48,0.4918,0.0075,0.0049,0.0073
8.48,11.0,0.2454,0.0038,0.0025,0.0036
11.0,16.6,0.08301,0.00138,0.00083,0.00123
16.6,22.8,0.02564,0.00063,0.00026,0.00038
22.8,41.9,0.006074,0.000146,6.1e-05,9e-05
1.0,1.71,20.39,0.41,0.41,0.59
1.71,2.97,9.622,0.072,0.144,0.204
2.97,4.02,4.208,0.041,0.042,0.069
4.02,5.9,1.809,0.016,0.018,0.027
5.9,7.09,0.8183,0.011,0.0082,0.0122
7.09,8.48,0.4709,0.0072,0.0047,0.007
8.48,11.0,0.2389,0.0037,0.0024,0.0036
11.0,16.6,0.08508,0.00139,0.00085,0.00126
16.6,22.8,0.02503,0.00062,0.00025,0.00037
22.8,41.9,0.005735,0.000142,5.7e-05,8.5e-05
1.0,1.71,18.47,0.51,0.37,0.54
1.71,2.97,9.311,0.07,0.14,0.198
2.97,4.02,4.133,0.04,0.041,0.068
4.02,5.9,1.754,0.015,0.018,0.026
5.9,7.09,0.8021,0.0108,0.008,0.0119
7.09,8.48,0.4631,0.0071,0.0046,0.0069
8.48,11.0,0.2345,0.0036,0.0023,0.0035
11.0,16.6,0.08171,0.00136,0.00082,0.00121
16.6,22.8,0.02457,0.00062,0.00025,0.00037
22.8,41.9,0.005711,0.000142,5.7e-05,8.5e-05
1.0,1.71,18.5,0.64,0.37,0.54
1.71,2.97,9.326,0.07,0.14,0.198
2.97,4.02,4.13,0.04,0.041,0.068
4.02,5.9,1.778,0.016,0.018,0.026
5.9,7.09,0.8121,0.0111,0.0081,0.0121
7.09,8.48,0.4731,0.0073,0.0047,0.007
8.48,11.0,0.2345,0.0037,0.0023,0.0035
11.0,16.6,0.08259,0.00137,0.00083,0.00123
16.6,22.8,0.02545,0.00063,0.00025,0.00038
22.8,41.9,0.005555,0.00014,5.6e-05,8.3e-05
1.0,1.71,19.55,0.44,0.39,0.57
1.71,2.97,9.36,0.078,0.14,0.199
2.97,4.02,4.146,0.043,0.041,0.068
4.02,5.9,1.781,0.017,0.018,0.026
5.9,7.09,0.8145,0.0115,0.0081,0.0121
7.09,8.48,0.4714,0.0076,0.0047,0.007
8.48,11.0,0.2424,0.0039,0.0024,0.0036
11.0,16.6,0.08465,0.00145,0.00085,0.00126
16.6,22.8,0.02605,0.00067,0.00026,0.00039
22.8,41.9,0.005543,0.000148,5.5e-05,8.2e-05
1.0,1.71,19.28,0.71,0.39,0.56
1.71,2.97,9.321,0.101,0.14,0.198
2.97,4.02,4.152,0.059,0.042,0.068
4.02,5.9,1.801,0.025,0.018,0.027
5.9,7.09,0.8277,0.0191,0.0083,0.0123
7.09,8.48,0.4763,0.0128,0.0048,0.0071
8.48,11.0,0.2369,0.0065,0.0024,0.0035
11.0,16.6,0.07839,0.00243,0.00078,0.00117
16.6,22.8,0.02575,0.00118,0.00026,0.00038
22.8,41.9,0.005613,0.000264,5.6e-05,8.3e-05
1.0,1.71,18.88,0.41,0.38,0.55
1.71,2.97,9.341,0.099,0.14,0.198
2.97,4.02,4.088,0.055,0.041,0.067
4.02,5.9,1.801,0.021,0.018,0.027
5.9,7.09,0.789,0.0135,0.0079,0.0117
7.09,8.48,0.4783,0.009,0.0048,0.0071
8.48,11.0,0.2418,0.0046,0.0024,0.0036
11.0,16.6,0.08115,0.00166,0.00081,0.00121
16.6,22.8,0.02521,0.00075,0.00025,0.00037
22.8,41.9,0.005266,0.000162,5.3e-05,7.8e-05
1.0,1.71,19.84,0.45,0.4,0.58
1.71,2.97,9.362,0.075,0.14,0.199
2.97,4.02,4.161,0.043,0.042,0.068
4.02,5.9,1.791,0.017,0.018,0.027
5.9,7.09,0.8176,0.0116,0.0082,0.0122
7.09,8.48,0.4683,0.0076,0.0047,0.007
8.48,11.0,0.2374,0.0039,0.0024,0.0035
11.0,16.6,0.08543,0.00146,0.00085,0.00127
16.6,22.8,0.02462,0.00065,0.00025,0.00037
22.8,41.9,0.005786,0.000149,5.8e-05,8.6e-05
1.0,1.71,19.98,0.6,0.4,0.58
1.71,2.97,9.548,0.073,0.143,0.203
2.97,4.02,4.212,0.041,0.042,0.069
4.02,5.9,1.824,0.016,0.018,0.027
5.9,7.09,0.8367,0.0114,0.0084,0.0124
7.09,8.48,0.4671,0.0073,0.0047,0.0069
8.48,11.0,0.2466,0.0038,0.0025,0.0037
11.0,16.6,0.08929,0.00144,0.00089,0.00133
16.6,22.8,0.02629,0.00064,0.00026,0.00039
22.8,41.9,0.005947,0.000145,5.9e-05,8.8e-05
1.0,1.71,20.01,0.64,0.4,0.58
1.71,2.97,9.681,0.073,0.145,0.206
2.97,4.02,4.098,0.04,0.041,0.067
4.02,5.9,1.779,0.016,0.018,0.026
5.9,7.09,0.8153,0.011,0.0082,0.0121
7.09,8.48,0.4795,0.0073,0.0048,0.0071
8.48,11.0,0.2399,0.0037,0.0024,0.0036
11.0,16.6,0.08722,0.00141,0.00087,0.0013
16.6,22.8,0.02561,0.00063,0.00026,0.00038
22.8,41.9,0.005941,0.000144,5.9e-05,8.8e-05
1.0,1.71,20.73,0.55,0.41,0.6
1.71,2.97,9.739,0.073,0.146,0.207
2.97,4.02,4.233,0.041,0.042,0.069
4.02,5.9,1.805,0.016,0.018,0.027
5.9,7.09,0.8379,0.0113,0.0084,0.0125
7.09,8.48,0.4757,0.0073,0.0048,0.0071
8.48,11.0,0.247,0.0038,0.0025,0.0037
11.0,16.6,0.0829,0.00139,0.00083,0.00123
16.6,22.8,0.02531,0.00064,0.00025,0.00038
22.8,41.9,0.005879,0.000146,5.9e-05,8.7e-05
1.0,1.71,20.92,0.53,0.42,0.61
1.71,2.97,9.932,0.072,0.149,0.211
2.97,4.02,4.362,0.041,0.044,0.072
4.02,5.9,1.856,0.016,0.019,0.028
5.9,7.09,0.8613,0.0113,0.0086,0.0128
7.09,8.48,0.4895,0.0074,0.0049,0.0073
8.48,11.0,0.2433,0.0037,0.0024,0.0036
11.0,16.6,0.08545,0.00139,0.00085,0.00127
16.6,22.8,0.02463,0.00062,0.00025,0.00037
22.8,41.9,0.005649,0.00014,5.6e-05,8.4e-05
1.0,1.71,19.78,0.51,0.4,0.57
1.71,2.97,9.975,0.076,0.15,0.212
