date YYY-MM-DD,rigidity_min GV,rigidity_max GV,electron_flux m^-2sr^-1s^-1GV^-1,electron_flux_error_statistical m^-2sr^-1s^-1GV^-1,electron_flux_error_timedependent m^-2sr^-1s^-1GV^-1
7.09,8.48,0.4652,0.0072,0.0047,0.0069
8.48,11.0,0.2393,0.0037,0.0024,0.0036
11.0,16.6,0.08694,0.00141,0.00087,0.00129
16.6,22.8,0.02504,0.00062,0.00025,0.00037
22.8,41.9,0.005872,0.000143,5.9e-05,8.7e-05
1.0,1.71,11.35,0.33,0.23,0.33
1.71,2.97,7.052,0.063,0.106,0.15
2.97,4.02,3.618,0.038,0.036,0.059
4.02,5.9,1.666,0.015,0.017,0.025
5.9,7.09,0.8004,0.0109,0.008,0.0119
7.09,8.48,0.4726,0.0073,0.0047,0.007
8.48,11.0,0.2445,0.0037,0.0024,0.0036
11.0,16.6,0.08791,0.00141,0.00088,0.00131
16.6,22.8,0.02477,0.00061,0.00025,0.00037
22.8,41.9,0.006134,0.000146,6.1e-05,9.1e-05
1.0,1.71,11.67,0.34,0.23,0.34
1.71,2.97,7.179,0.064,0.108,0.152
2.97,4.02,3.666,0.039,0.037,0.06
4.02,5.9,1.693,0.015,0.017,0.025
5.9,7.09,0.8027,0.011,0.008,0.0119
7.09,8.48,0.4761,0.0073,0.0048,0.0071
8.48,11.0,0.2429,0.0037,0.0024,0.0036
11.0,16.6,0.08691,0.00141,0.00087,0.00129
16.6,22.8,0.02664,0.00063,0.00027,0.0004
22.8,41.9,0.005585,0.000139,5.6e-05,8.3e-05
1.0,1.71,11.51,0.32,0.23,0.34
1.71,2.97,7.121,0.062,0.107,0.151
2.97,4.02,3.599,0.038,0.036,0.059
4.02,5.9,1.707,0.016,0.017,0.025
5.9,7.09,0.801,0.0109,0.008,0.0119
7.09,8.48,0.4767,0.0073,0.0048,0.0071
8.48,11.0,0.2548,0.0038,0.0025,0.0038
11.0,16.6,0.08614,0.00139,0.00086,0.00128
16.6,22.8,0.02639,0.00063,0.00026,0.00039
22.8,41.9,0.005849,0.000142,5.8e-05,8.7e-05
1.0,1.71,11.2,0.29,0.22,0.32
1.71,2.97,7.079,0.062,0.106,0.15
2.97,4.02,3.616,0.038,0.036,0.059
4.02,5.9,1.707,0.015,0.017,0.025
5.9,7.09,0.8015,0.0109,0.008,0.0119
7.09,8.48,0.479,0.0073,0.0048,0.0071
8.48,11.0,0.2507,0.0038,0.0025,0.0037
11.0,16.6,0.08783,0.0014,0.00088,0.00131
16.6,22.8,0.02618,0.00063,0.00026,0.00039
22.8,41.9,0.006032,0.000144,6e-05,9e-05
1.0,1.71,12.02,0.32,0.24,0.35
1.71,2.97,7.014,0.062,0.105,0.149
2.97,4.02,3.584,0.038,0.036,0.059
4.02,5.9,1.693,0.015,0.017,0.025
5.9,7.09,0.8053,0.011,0.0081,0.012
7.09,8.48,0.4621,0.0072,0.0046,0.0069
8.48,11.0,0.2452,0.0037,0.0025,0.0036
11.0,16.6,0.08672,0.00139,0.00087,0.00129
16.6,22.8,0.02537,0.00062,0.00025,0.00038
22.8,41.9,0.005951,0.000144,6e-05,8.8e-05
1.0,1.71,12.14,0.71,0.24,0.35
1.71,2.97,7.135,0.171,0.107,0.151
2.97,4.02,3.653,0.093,0.037,0.06
4.02,5.9,1.674,0.031,0.017,0.025
5.9,7.09,0.7427,0.0204,0.0074,0.011
7.09,8.48,0.4738,0.0138,0.0047,0.007
8.48,11.0,0.2488,0.0071,0.0025,0.0037
11.0,16.6,0.08483,0.00259,0.00085,0.00126
16.6,22.8,0.02841,0.0012,0.00028,0.00042
22.8,41.9,0.005901,0.000261,5.9e-05,8.8e-05
1.0,1.71,11.4,0.31,0.23,0.33
1.71,2.97,7.095,0.074,0.106,0.151
2.97,4.02,3.513,0.046,0.035,0.058
4.02,5.9,1.664,0.019,0.017,0.025
5.9,7.09,0.7571,0.0134,0.0076,0.0113
7.09,8.48,0.4674,0.0091,0.0047,0.0069
8.48,11.0,0.2403,0.0047,0.0024,0.0036
11.0,16.6,0.08433,0.00174,0.00084,0.00125
16.6,22.8,0.02673,0.0008,0.00027,0.0004
22.8,41.9,0.00605,0.000184,6.1e-05,9e-05
1.0,1.71,10.81,0.27,0.22,0.31
1.71,2.97,7.127,0.063,0.107,0.151
2.97,4.02,3.522,0.037,0.035,0.058
4.02,5.9,1.641,0.015,0.016,0.024
5.9,7.09,0.7868,0.0109,0.0079,0.0117
7.09,8.48,0.4651,0.0072,0.0047,0.0069
8.48,11.0,0.2386,0.0037,0.0024,0.0035
11.0,16.6,0.08485,0.00138,0.00085,0.00126
16.6,22.8,0.02634,0.00063,0.00026,0.00039
22.8,41.9,0.006044,0.000145,6e-05,9e-05
1.0,1.71,11.67,0.32,0.23,0.34
1.71,2.97,7.055,0.062,0.106,0.15
2.97,4.02,3.594,0.038,0.036,0.059
4.02,5.9,1.656,0.015,0.017,0.025
5.9,7.09,0.7709,0.0107,0.0077,0.0115
7.09,8.48,0.4671,0.0072,0.0047,0.007
8.48,11.0,0.2376,0.0037,0.0024,0.0035
11.0,16.6,0.08579,0.00139,0.00086,0.00128
16.6,22.8,0.02675,0.00064,0.00027,0.0004
22.8,41.9,0.006095,0.000145,6.1e-05,9.1e-05
1.0,1.71,11.84,0.29,0.24,0.34
1.71,2.97,6.971,0.061,0.105,0.148
2.97,4.02,3.6,0.038,0.036,0.059
4.02,5.9,1.672,0.015,0.017,0.025
5.9,7.09,0.789,0.0108,0.0079,0.0117
7.09,8.48,0.4572,0.0071,0.0046,0.0068
8.48,11.0,0.2392,0.0037,0.0024,0.0036
11.0,16.6,0.08424,0.00137,0.00084,0.00125
16.6,22.8,0.02569,0.00062,0.00026,0.00038
22.8,41.9,0.006074,0.000145,6.1e-05,9e-05
1.0,1.71,12.19,0.31,0.24,0.35
1.71,2.97,7.134,0.063,0.107,0.151
2.97,4.02,3.652,0.038,0.037,0.06
4.02,5.9,1.692,0.015,0.017,0.025
5.9,7.09,0.8095,0.011,0.0081,0.012
7.09,8.48,0.4738,0.0073,0.0047,0.007
8.48,11.0,0.2492,0.0037,0.0025,0.0037
11.0,16.6,0.08321,0.00136,0.00083,0.00124
16.6,22.8,0.02541,0.00061,0.00025,0.00038
22.8,41.9,0.005599,0.000139,5.6e-05,8.3e-05
1.0,1.71,11.41,0.31,0.23,0.33
1.71,2.97,7.012,0.062,0.105,0.149
2.97,4.02,3.541,0.038,0.035,0.058
4.02,5.9,1.666,0.015,0.017,0.025
5.9,7.09,0.7771,0.0107,0.0078,0.0116
7.09,8.48,0.4656,0.0072,0.0047,0.0069
8.48,11.0,0.2355,0.0037,0.0024,0.0035
11.0,16.6,0.08416,0.00138,0.00084,0.00125
16.6,22.8,0.02555,0.00062,0.00026,0.00038
22.8,41.9,0.005879,0.000143,5.9e-05,8.7e-05
1.0,1.71,11.59,0.29,0.23,0.34
1.71,2.97,6.885,0.062,0.103,0.146
2.97,4.02,3.524,0.037,0.035,0.058
4.02,5.9,1.615,0.015,0.016,0.024
5.9,7.09,0.8035,0.011,0.008,0.0119
7.09,8.48,0.4549,0.0072,0.0045,0.0068
8.48,11.0,0.2418,0.0037,0.0024,0.0036
11.0,16.6,0.0836,0.00138,0.00084,0.00124
16.6,22.8,0.02553,0.00062,0.00026,0.00038
22.8,41.9,0.005783,0.000142,5.8e-05,8.6e-05
1.0,1.71,11.95,0.32,0.24,0.35
1.71,2.97,7.115,0.063,0.107,0.151
2.97,4.02,3.58,0.038,0.036,0.059
4.02,5.9,1.633,0.015,0.016,0.024
5.9,7.09,0.8012,0.011,0.008,0.0119
7.09,8.48,0.4845,0.0074,0.0048,0.0072
8.48,11.0,0.2339,0.0037,0.0023,0.0035
11.0,16.6,0.08645,0.00139,0.00086,0.00129
16.6,22.8,0.02549,0.00062,0.00025,0.00038
22.8,41.9,0.005892,0.000143,5.9e-05,8.8e-05
1.0,1.71,11.32,0.31,0.23,0.33
1.71,2.97,6.867,0.062,0.103,0.146
2.97,4.02,3.569,0.037,0.036,0.059
4.02,5.9,1.661,0.015,0.017,0.025
5.9,7.09,0.7857,0.0108,0.0079,0.0117
7.09,8.48,0.4722,0.0072,0.0047,0.007
8.48,11.0,0.2379,0.0037,0.0024,0.0035
11.0,16.6,0.08231,0.00136,0.00082,0.00122
16.6,22.8,0.02626,0.00063,0.00026,0.00039
22.8,41.9,0.006195,0.000146,6.2e-05,9.2e-05
1.0,1.71,10.76,0.32,0.22,0.31
1.71,2.97,6.938,0.063,0.104,0.147
2.97,4.02,3.547,0.038,0.035,0.058
4.02,5.9,1.682,0.016,0.017,0.025
5.9,7.09,0.7948,0.011,0.0079,0.0118
7.09,8.48,0.4749,0.0073,0.0047,0.0071
8.48,11.0,0.2453,0.0038,0.0025,0.0036
11.0,16.6,0.08843,0.00142,0.00088,0.00131
16.6,22.8,0.02552,0.00062,0.00026,0.00038
22.8,41.9,0.006308,0.000148,6.3e-05,9.4e-05
1.0,1.71,11.25,0.26,0.22,0.33
1.71,2.97,7.403,0.064,0.111,0.157
2.97,4.02,3.706,0.038,0.037,0.061
4.02,5.9,1.697,0.015,0.017,0.025
5.9,7.09,0.8167,0.011,0.0082,0.0121
7.09,8.48,0.4789,0.0073,0.0048,0.0071
8.48,11.0,0.2436,0.0037,0.0024,0.0036
11.0,16.6,0.0865,0.0014,0.00087,0.00129
16.6,22.8,0.02703,0.00064,0.00027,0.0004
22.8,41.9,0.006343,0.000149,6.3e-05,9.4e-05
1.0,1.71,11.46,0.29,0.23,0.33
1.71,2.97,7.361,0.065,0.11,0.156
2.97,4.02,3.772,0.039,0.038,0.062
4.02,5.9,1.744,0.016,0.017,0.026
5.9,7.09,0.8192,0.0111,0.0082,0.0122
7.09,8.48,0.4821,0.0074,0.0048,0.0072
8.48,11.0,0.2471,0.0038,0.0025,0.0037
11.0,16.6,0.08846,0.00142,0.00088,0.00132
16.6,22.8,0.02647,0.00063,0.00026,0.00039
22.8,41.9,0.005955,0.000144,6e-05,8.9e-05
1.0,1.71,11.98,0.32,0.24,0.35
1.71,2.97,7.403,0.063,0.111,0.157
2.97,4.02,3.713,0.038,0.037,0.061
4.02,5.9,1.703,0.015,0.017,0.025
5.9,7.09,0.8152,0.011,0.0082,0.0121
7.09,8.48,0.4747,0.0073,0.0047,0.0071
8.48,11.0,0.2494,0.0038,0.0025,0.0037
11.0,16.6,0.08761,0.00141,0.00088,0.0013
16.6,22.8,0.02723,0.00064,0.00027,0.0004
22.8,41.9,0.006027,0.000144,6e-05,9e-05
1.0,1.71,11.8,0.27,0.24,0.34
1.71,2.97,7.308,0.064,0.11,0.155
2.97,4.02,3.677,0.039,0.037,0.06
4.02,5.9,1.706,0.015,0.017,0.025
5.9,7.09,0.8131,0.011,0.0081,0.0121
7.09,8.48,0.4794,0.0073,0.0048,0.0071
8.48,11.0,0.2533,0.0038,0.0025,0.0038
11.0,16.6,0.08729,0.0014,0.00087,0.0013
16.6,22.8,0.02656,0.00063,0.00027,0.00039
22.8,41.9,0.005971,0.000144,6e-05,8.9e-05
1.0,1.71,11.85,0.29,0.24,0.34
1.71,2.97,7.346,0.063,0.11,0.156
2.97,4.02,3.76,0.039,0.038,0.062
4.02,5.9,1.705,0.015,0.017,0.025
5.9,7.09,0.7997,0.011,0.008,0.0119
7.09,8.48,0.4904,0.0074,0.0049,0.0073
8.48,11.0,0.2441,0.0037,0.0024,0.0036
11.0,16.6,0.08858,0.00141,0.00089,0.00132
16.6,22.8,0.02641,0.00063,0.00026,0.00039
22.8,41.9,0.006391,0.000149,6.4e-05,9.5e-05
1.0,1.71,12.46,0.28,0.25,0.36
1.71,2.97,7.484,0.063,0.112,0.159
2.97,4.02,3.765,0.038,0.038,0.062
4.02,5.9,1.737,0.016,0.017,0.026
5.9,7.09,0.8041,0.0109,0.008,0.012
7.09,8.48,0.4881,0.0074,0.0049,0.0073
8.48,11.0,0.2539,0.0038,0.0025,0.0038
11.0,16.6,0.08717,0.0014,0.00087,0.0013
16.6,22.8,0.02773,0.00065,0.00028,0.00041
22.8,41.9,0.006198,0.000146,6.2e-05,9.2e-05
1.0,1.71,12.88,0.37,0.26,0.37
1.71,2.97,7.556,0.065,0.113,0.16
2.97,4.02,3.705,0.038,0.037,0.061
4.02,5.9,1.753,0.016,0.018,0.026
5.9,7.09,0.8153,0.011,0.0082,0.0121
7.09,8.48,0.4891,0.0074,0.0049,0.0073
8.48,11.0,0.2522,0.0038,0.0025,0.0037
11.0,16.6,0.08751,0.0014,0.00088,0.0013
16.6,22.8,0.02524,0.00062,0.00025,0.00038
22.8,41.9,0.006226,0.000146,6.2e-05,9.3e-05
1.0,1.71,11.84,0.24,0.24,0.34
1.71,2.97,7.489,0.063,0.112,0.159
2.97,4.02,3.755,0.039,0.038,0.062
4.02,5.9,1.734,0.016,0.017,0.026
5.9,7.09,0.8266,0.0111,0.0083,0.0123
7.09,8.48,0.4774,0.0073,0.0048,0.0071
8.48,11.0,0.2434,0.0037,0.0024,0.0036
11.0,16.6,0.08811,0.00141,0.00088,0.00131
16.6,22.8,0.02743,0.00064,0.00027,0.00041
22.8,41.9,0.006094,0.000145,6.1e-05,9.1e-05
1.0,1.71,11.86,0.3,0.24,0.34
1.71,2.97,7.504,0.065,0.113,0.159
2.97,4.02,3.737,0.039,0.037,0.061
4.02,5.9,1.704,0.016,0.017,0.025
5.9,7.09,0.8356,0.0112,0.0084,0.0124
7.09,8.48,0.4696,0.0073,0.0047,0.007
8.48,11.0,0.2448,0.0038,0.0024,0.0036
11.0,16.6,0.08641,0.0014,0.00086,0.00128
16.6,22.8,0.02622,0.00063,0.00026,0.00039
22.8,41.9,0.006121,0.000145,6.1e-05,9.1e-05
1.0,1.71,12.6,0.42,0.25,0.37
1.71,2.97,7.442,0.062,0.112,0.158
2.97,4.02,3.695,0.038,0.037,0.061
4.02,5.9,1.717,0.015,0.017,0.026
5.9,7.09,0.8057,0.011,0.0081,0.012
7.09,8.48,0.4753,0.0073,0.0048,0.0071
8.48,11.0,0.2435,0.0037,0.0024,0.0036
11.0,16.6,0.08483,0.00139,0.00085,0.00126
16.6,22.8,0.02628,0.00063,0.00026,0.00039
22.8,41.9,0.006109,0.000146,6.1e-05,9.1e-05
1.0,1.71,12.31,0.29,0.25,0.36
1.71,2.97,7.433,0.065,0.111,0.158
2.97,4.02,3.685,0.039,0.037,0.06
4.02,5.9,1.673,0.015,0.017,0.025
5.9,7.09,0.7907,0.0109,0.0079,0.0118
7.09,8.48,0.4671,0.0073,0.0047,0.007
8.48,11.0,0.2483,0.0038,0.0025,0.0037
11.0,16.6,0.08449,0.00139,0.00084,0.00126
16.6,22.8,0.02512,0.00062,0.00025,0.00037
22.8,41.9,0.006399,0.000149,6.4e-05,9.5e-05
1.0,1.71,12.28,0.29,0.25,0.36
1.71,2.97,7.476,0.063,0.112,0.159
2.97,4.02,3.677,0.038,0.037,0.06
4.02,5.9,1.676,0.015,0.017,0.025
5.9,7.09,0.7992,0.0109,0.008,0.0119
7.09,8.48,0.4772,0.0073,0.0048,0.0071
8.48,11.0,0.2501,0.0038,0.0025,0.0037
11.0,16.6,0.08912,0.00142,0.00089,0.00132
16.6,22.8,0.02552,0.00062,0.00026,0.00038
22.8,41.9,0.0061,0.000145,6.1e-05,9.1e-05
1.0,1.71,12.02,0.36,0.24,0.35
1.71,2.97,7.322,0.063,0.11,0.155
2.97,4.02,3.631,0.038,0.036,0.06
4.02,5.9,1.678,0.015,0.017,0.025
5.9,7.09,0.8002,0.0109,0.008,0.0119
7.09,8.48,0.4626,0.0072,0.0046,0.0069
8.48,11.0,0.2453,0.0037,0.0025,0.0036
11.0,16.6,0.08391,0.00137,0.00084,0.00125
16.6,22.8,0.02551,0.00062,0.00026,0.00038
22.8,41.9,0.006044,0.000144,6e-05,9e-05
1.0,1.71,12.18,0.28,0.24,0.35
1.71,2.97,7.401,0.062,0.111,0.157
2.97,4.02,3.65,0.037,0.037,0.06
4.02,5.9,1.691,0.015,0.017,0.025
5.9,7.09,0.8061,0.0108,0.0081,0.012
7.09,8.48,0.464,0.0071,0.0046,0.0069
8.48,11.0,0.2527,0.0038,0.0025,0.0038
11.0,16.6,0.08465,0.00137,0.00085,0.00126
16.6,22.8,0.02629,0.00063,0.00026,0.00039
22.8,41.9,0.006094,0.000145,6.1e-05,9.1e-05
1.0,1.71,12.12,0.36,0.24,0.35
1.71,2.97,7.331,0.078,0.11,0.156
2.97,4.02,3.586,0.05,0.036,0.059
4.02,5.9,1.687,0.023,0.017,0.025
5.9,7.09,0.8181,0.0182,0.0082,0.0122
7.09,8.48,0.4481,0.012,0.0045,0.0067
8.48,11.0,0.2481,0.0064,0.0025,0.0037
11.0,16.6,0.08445,0.00242,0.00084,0.00126
16.6,22.8,0.02634,0.00115,0.00026,0.00039
22.8,41.9,0.005723,0.000254,5.7e-05,8.5e-05
1.0,1.71,11.25,0.43,0.22,0.33
1.71,2.97,7.241,0.095,0.109,0.154
2.97,4.02,3.693,0.056,0.037,0.061
4.02,5.9,1.662,0.021,0.017,0.025
5.9,7.09,0.8067,0.0143,0.0081,0.012
7.09,8.48,0.4703,0.0093,0.0047,0.007
8.48,11.0,0.2386,0.0047,0.0024,0.0035
11.0,16.6,0.08511,0.00176,0.00085,0.00127
16.6,22.8,0.02578,0.00078,0.00026,0.00038
22.8,41.9,0.006196,0.000183,6.2e-05,9.2e-05
1.0,1.71,12.36,0.38,0.25,0.36
1.71,2.97,7.339,0.084,0.11,0.156
2.97,4.02,3.573,0.05,0.036,0.059
4.02,5.9,1.699,0.02,0.017,0.025
5.9,7.09,0.7991,0.014,0.008,0.0119
7.09,8.48,0.4759,0.0094,0.0048,0.0071
8.48,11.0,0.2448,0.0048,0.0024,0.0036
11.0,16.6,0.08429,0.00175,0.00084,0.00125
16.6,22.8,0.02599,0.0008,0.00026,0.00039
22.8,41.9,0.006082,0.000185,6.1e-05,9e-05
1.0,1.71,12.12,0.47,0.24,0.35
1.71,2.97,7.327,0.086,0.11,0.155
2.97,4.02,3.692,0.054,0.037,0.061
4.02,5.9,1.691,0.023,0.017,0.025
5.9,7.09,0.7955,0.0169,0.008,0.0118
7.09,8.48,0.4725,0.0113,0.0047,0.007
8.48,11.0,0.2538,0.006,0.0025,0.0038
11.0,16.6,0.08354,0.00218,0.00084,0.00124
16.6,22.8,0.02435,0.00098,0.00024,0.00036
22.8,41.9,0.005233,0.000215,5.2e-05,7.8e-05
1.0,1.71,12.29,0.42,0.25,0.36
1.71,2.97,7.411,0.063,0.111,0.157
2.97,4.02,3.654,0.038,0.037,0.06
4.02,5.9,1.688,0.015,0.017,0.025
5.9,7.09,0.7996,0.0109,0.008,0.0119
7.09,8.48,0.4606,0.0072,0.0046,0.0068
8.48,11.0,0.2453,0.0037,0.0025,0.0036
11.0,16.6,0.0832,0.00138,0.00083,0.00124
16.6,22.8,0.02625,0.00063,0.00026,0.00039
22.8,41.9,0.005763,0.000141,5.8e-05,8.6e-05
1.0,1.71,12.13,0.25,0.24,0.35
1.71,2.97,7.296,0.062,0.109,0.155
2.97,4.02,3.675,0.038,0.037,0.06
4.02,5.9,1.676,0.015,0.017,0.025
5.9,7.09,0.7971,0.0108,0.008,0.0118
7.09,8.48,0.441,0.007,0.0044,0.0066
8.48,11.0,0.2368,0.0036,0.0024,0.0035
11.0,16.6,0.08641,0.00139,0.00086,0.00129
16.6,22.8,0.02465,0.00061,0.00025,0.00037
22.8,41.9,0.005968,0.000144,6e-05,8.9e-05
1.0,1.71,11.61,0.29,0.23,0.34
1.71,2.97,7.495,0.064,0.112,0.159
2.97,4.02,3.704,0.038,0.037,0.061
4.02,5.9,1.709,0.015,0.017,0.025
5.9,7.09,0.8042,0.0109,0.008,0.012
7.09,8.48,0.4668,0.0072,0.0047,0.0069
8.48,11.0,0.2461,0.0037,0.0025,0.0037
11.0,16.6,0.08741,0.0014,0.00087,0.0013
16.6,22.8,0.02532,0.00062,0.00025,0.00038
22.8,41.9,0.005881,0.000142,5.9e-05,8.7e-05
1.0,1.71,11.91,0.34,0.24,0.35
1.71,2.97,7.342,0.062,0.11,0.156
2.97,4.02,3.748,0.038,0.037,0.061
4.02,5.9,1.743,0.015,0.017,0.026
5.9,7.09,0.8018,0.0109,0.008,0.0119
7.09,8.48,0.4933,0.0074,0.0049,0.0073
8.48,11.0,0.2481,0.0037,0.0025,0.0037
11.0,16.6,0.08506,0.00138,0.00085,0.00126
16.6,22.8,0.02618,0.00063,0.00026,0.00039
22.8,41.9,0.006091,0.000145,6.1e-05,9.1e-05
1.0,1.71,11.74,0.29,0.23,0.34
1.71,2.97,7.331,0.066,0.11,0.156
2.97,4.02,3.683,0.039,0.037,0.06
4.02,5.9,1.715,0.016,0.017,0.025
5.9,7.09,0.7947,0.011,0.0079,0.0118
7.09,8.48,0.4701,0.0073,0.0047,0.007
8.48,11.0,0.2527,0.0038,0.0025,0.0038
11.0,16.6,0.08659,0.00141,0.00087,0.00129
16.6,22.8,0.02566,0.00063,0.00026,0.00038
22.8,41.9,0.005809,0.000143,5.8e-05,8.6e-05
1.0,1.71,11.61,0.36,0.23,0.34
1.71,2.97,7.269,0.073,0.109,0.154
2.97,4.02,3.742,0.042,0.037,0.061
4.02,5.9,1.709,0.016,0.017,0.025
5.9,7.09,0.7984,0.0113,0.008,0.0119
7.09,8.48,0.4949,0.0077,0.0049,0.0074
8.48,11.0,0.2429,0.0038,0.0024,0.0036
11.0,16.6,0.08832,0.00145,0.00088,0.00131
16.6,22.8,0.02618,0.00064,0.00026,0.00039
22.8,41.9,0.006061,0.000147,6.1e-05,9e-05
1.0,1.71,11.74,0.38,0.23,0.34
1.71,2.97,7.347,0.068,0.11,0.156
2.97,4.02,3.622,0.039,0.036,0.059
4.02,5.9,1.742,0.016,0.017,0.026
5.9,7.09,0.8059,0.0112,0.0081,0.012
7.09,8.48,0.4878,0.0075,0.0049,0.0073
8.48,11.0,0.2461,0.0038,0.0025,0.0037
11.0,16.6,0.0845,0.00141,0.00085,0.00126
16.6,22.8,0.02524,0.00063,0.00025,0.00038
22.8,41.9,0.006127,0.000148,6.1e-05,9.1e-05
1.0,1.71,11.27,0.28,0.23,0.33
1.71,2.97,7.395,0.067,0.111,0.157
2.97,4.02,3.697,0.04,0.037,0.061
4.02,5.9,1.735,0.016,0.017,0.026
5.9,7.09,0.8224,0.0112,0.0082,0.0122
7.09,8.48,0.4711,0.0073,0.0047,0.007
8.48,11.0,0.2412,0.0037,0.0024,0.0036
11.0,16.6,0.08594,0.0014,0.00086,0.00128
16.6,22.8,0.02515,0.00062,0.00025,0.00037
22.8,41.9,0.006106,0.000146,6.1e-05,9.1e-05
1.0,1.71,12.56,0.32,0.25,0.36
1.71,2.97,7.426,0.064,0.111,0.158
2.97,4.02,3.717,0.039,0.037,0.061
4.02,5.9,1.733,0.016,0.017,0.026
5.9,7.09,0.8093,0.011,0.0081,0.012
7.09,8.48,0.4829,0.0074,0.0048,0.0072
8.48,11.0,0.2546,0.0038,0.0025,0.0038
11.0,16.6,0.08521,0.00139,0.00085,0.00127
16.6,22.8,0.02755,0.00065,0.00028,0.00041
22.8,41.9,0.006208,0.000147,6.2e-05,9.2e-05
1.0,1.71,12.17,0.37,0.24,0.35
1.71,2.97,7.393,0.066,0.111,0.157
2.97,4.02,3.705,0.039,0.037,0.061
4.02,5.9,1.676,0.016,0.017,0.025
5.9,7.09,0.7984,0.011,0.008,0.0119
7.09,8.48,0.4788,0.0074,0.0048,0.0071
8.48,11.0,0.2505,0.0038,0.0025,0.0037
11.0,16.6,0.08685,0.00141,0.00087,0.00129
16.6,22.8,0.0262,0.00063,0.00026,0.00039
22.8,41.9,0.006129,0.000145,6.1e-05,9.1e-05
1.0,1.71,12.73,0.29,0.25,0.37
1.71,2.97,7.548,0.063,0.113,0.16
2.97,4.02,3.759,0.038,0.038,0.062
4.02,5.9,1.718,0.015,0.017,0.026
5.9,7.09,0.8079,0.0109,0.0081,0.012
7.09,8.48,0.4724,0.0073,0.0047,0.007
8.48,11.0,0.2431,0.0037,0.0024,0.0036
11.0,16.6,0.08645,0.0014,0.00086,0.00129
16.6,22.8,0.02519,0.00062,0.00025,0.00037
22.8,41.9,0.006223,0.000147,6.2e-05,9.3e-05
1.0,1.71,12.81,0.35,0.26,0.37
1.71,2.97,7.448,0.068,0.112,0.158
2.97,4.02,3.729,0.04,0.037,0.061
4.02,5.9,1.73,0.016,0.017,0.026
5.9,7.09,0.8005,0.0111,0.008,0.0119
7.09,8.48,0.4842,0.0074,0.0048,0.0072
8.48,11.0,0.2557,0.0038,0.0026,0.0038
11.0,16.6,0.08586,0.0014,0.00086,0.00128
16.6,22.8,0.02552,0.00062,0.00026,0.00038
22.8,41.9,0.006267,0.000148,6.3e-05,9.3e-05
1.0,1.71,12.64,0.39,0.25,0.37
1.71,2.97,7.673,0.066,0.115,0.163
2.97,4.02,3.797,0.039,0.038,0.062
4.02,5.9,1.745,0.016,0.017,0.026
5.9,7.09,0.786,0.0109,0.0079,0.0117
7.09,8.48,0.4709,0.0073,0.0047,0.007
8.48,11.0,0.2511,0.0038,0.0025,0.0037
11.0,16.6,0.08584,0.0014,0.00086,0.00128
16.6,22.8,0.02603,0.00063,0.00026,0.00039
22.8,41.9,0.005761,0.000141,5.8e-05,8.6e-05
1.0,1.71,13.14,0.32,0.26,0.38
1.71,2.97,7.624,0.066,0.114,0.162
2.97,4.02,3.772,0.039,0.038,0.062
4.02,5.9,1.733,0.016,0.017,0.026
5.9,7.09,0.8196,0.011,0.0082,0.0122
7.09,8.48,0.4628,0.0072,0.0046,0.0069
8.48,11.0,0.2482,0.0038,0.0025,0.0037
11.0,16.6,0.08846,0.00141,0.00088,0.00131
16.6,22.8,0.02724,0.00064,0.00027,0.00041
22.8,41.9,0.00617,0.000147,6.2e-05,9.2e-05
1.0,1.71,13.04,0.33,0.26,0.38
1.71,2.97,7.784,0.066,0.117,0.165
2.97,4.02,3.818,0.039,0.038,0.063
4.02,5.9,1.697,0.015,0.017,0.025
5.9,7.09,0.8176,0.011,0.0082,0.0122
7.09,8.48,0.464,0.0072,0.0046,0.0069
8.48,11.0,0.2501,0.0038,0.0025,0.0037
11.0,16.6,0.08756,0.0014,0.00088,0.0013
16.6,22.8,0.02609,0.00063,0.00026,0.00039
22.8,41.9,0.006217,0.000147,6.2e-05,9.2e-05
1.0,1.71,13.49,0.38,0.27,0.39
1.71,2.97,7.705,0.066,0.116,0.163
2.97,4.02,3.811,0.039,0.038,0.063
4.02,5.9,1.722,0.015,0.017,0.026
5.9,7.09,0.8243,0.0111,0.0082,0.0123
7.09,8.48,0.4737,0.0073,0.0047,0.007
8.48,11.0,0.25,0.0038,0.0025,0.0037
11.0,16.6,0.08756,0.00141,0.00088,0.0013
16.6,22.8,0.02579,0.00063,0.00026,0.00038
22.8,41.9,0.005998,0.000145,6e-05,8.9e-05
1.0,1.71,13.13,0.33,0.26,0.38
1.71,2.97,7.88,0.066,0.118,0.167
2.97,4.02,3.818,0.039,0.038,0.063
4.02,5.9,1.761,0.016,0.018,0.026
5.9,7.09,0.8264,0.0111,0.0083,0.0123
7.09,8.48,0.4873,0.0074,0.0049,0.0072
8.48,11.0,0.2392,0.0037,0.0024,0.0036
11.0,16.6,0.08542,0.00139,0.00085,0.00127
16.6,22.8,0.02593,0.00063,0.00026,0.00039
22.8,41.9,0.006455,0.000149,6.5e-05,9.6e-05
1.0,1.71,13.02,0.29,0.26,0.38
1.71,2.97,7.789,0.066,0.117,0.165
2.97,4.02,3.855,0.039,0.039,0.063
4.02,5.9,1.764,0.016,0.018,0.026
5.9,7.09,0.8359,0.0112,0.0084,0.0124
7.09,8.48,0.4827,0.0074,0.0048,0.0072
8.48,11.0,0.2421,0.0037,0.0024,0.0036
