date YYYY-MM-DD,rigidity_min GV,rigidity_max GV,positron_flux m^-2sr^-1s^-1GV^-1,positron_flux_error_statistical m^-2sr^-1s^-1GV^-1,positron_flux_error_timedependent m^-2sr^-1s^-1GV^-1
7.09,8.48,0.03149,0.004859,0.0003149,0.0004723614
8.48,11.0,0.01768,0.002633,0.0001768,0.0002651939
11.0,16.6,0.004351,0.0008223,4.351e-05,6.526863e-05
16.6,22.8,0.001626,0.0003833,1.626e-05,2.438522e-05
22.8,41.9,0.0005977,0.0001214,5.977e-06,8.965889e-06
1.0,1.33,2.588,0.3267,0.03882,0.07505861
1.33,1.71,1.469,0.1682,0.01909,0.03965823
1.71,2.15,0.8446,0.09706,0.00929,0.02026955
2.15,2.97,0.5687,0.04582,0.005687,0.01137389
2.97,4.02,0.2484,0.02234,0.002484,0.003725574
4.02,5.9,0.09921,0.009103,0.0009921,0.001488216
5.9,7.09,0.03793,0.005992,0.0003793,0.000569006
7.09,8.48,0.0238,0.004152,0.000238,0.0003570725
8.48,11.0,0.01517,0.00237,0.0001517,0.0002276101
11.0,16.6,0.004565,0.0008005,4.565e-05,6.847138e-05
16.6,22.8,0.001969,0.0004023,1.969e-05,2.953214e-05
22.8,41.9,0.0003391,8.862e-05,3.391e-06,5.087214e-06
1.0,1.33,2.142,0.296,0.03213,0.0621268
1.33,1.71,1.546,0.1764,0.02009,0.04173494
1.71,2.15,1.1,0.1111,0.0121,0.02640138
2.15,2.97,0.6251,0.05313,0.006251,0.01250175
2.97,4.02,0.2239,0.02441,0.002239,0.003358697
4.02,5.9,0.1026,0.01078,0.001026,0.001538607
5.9,7.09,0.05011,0.007996,0.0005011,0.0007516654
7.09,8.48,0.0341,0.005752,0.000341,0.0005114774
8.48,11.0,0.01307,0.002532,0.0001307,0.0001960037
11.0,16.6,0.003443,0.0008377,3.443e-05,5.164933e-05
16.6,22.8,0.002125,0.0005226,2.125e-05,3.187691e-05
22.8,41.9,0.0003741,0.0001195,3.741e-06,5.612186e-06
1.0,1.33,2.649,0.5594,0.03973,0.07680847
1.33,1.71,1.842,0.2877,0.02395,0.04974162
1.71,2.15,1.11,0.1732,0.01221,0.02665042
2.15,2.97,0.5316,0.06875,0.005316,0.0106317
2.97,4.02,0.2442,0.03277,0.002442,0.003662277
4.02,5.9,0.1057,0.01233,0.001057,0.001584793
5.9,7.09,0.04883,0.008341,0.0004883,0.00073244
7.09,8.48,0.02581,0.005403,0.0002581,0.0003872107
8.48,11.0,0.01208,0.002619,0.0001208,0.0001812222
11.0,16.6,0.005196,0.001053,5.196e-05,7.793681e-05
16.6,22.8,0.002135,0.0005162,2.135e-05,3.20191e-05
22.8,41.9,0.0004719,0.0001312,4.719e-06,7.078751e-06
1.0,1.33,2.118,0.2851,0.03177,0.06142454
1.33,1.71,1.586,0.1651,0.02062,0.04281987
1.71,2.15,1.149,0.104,0.01264,0.02757477
2.15,2.97,0.5822,0.04485,0.005822,0.01164376
2.97,4.02,0.2545,0.02222,0.002545,0.003817432
4.02,5.9,0.101,0.008443,0.00101,0.001515426
5.9,7.09,0.04019,0.00576,0.0004019,0.0006028114
7.09,8.48,0.02618,0.004039,0.0002618,0.00039265
8.48,11.0,0.01675,0.002287,0.0001675,0.0002512242
11.0,16.6,0.00464,0.0007542,4.64e-05,6.960615e-05
16.6,22.8,0.001603,0.0003469,1.603e-05,2.405059e-05
22.8,41.9,0.0004126,9.146e-05,4.126e-06,6.188296e-06
1.0,1.33,2.668,0.3353,0.04002,0.07737506
1.33,1.71,1.21,0.1597,0.01574,0.03268173
1.71,2.15,0.837,0.1032,0.009207,0.02008866
2.15,2.97,0.5563,0.05027,0.005563,0.01112593
2.97,4.02,0.2487,0.02456,0.002487,0.00373079
4.02,5.9,0.1012,0.009304,0.001012,0.001517876
5.9,7.09,0.04803,0.006593,0.0004803,0.0007203896
7.09,8.48,0.02242,0.003993,0.0002242,0.0003362632
8.48,11.0,0.0129,0.00215,0.000129,0.0001935485
11.0,16.6,0.005913,0.0008893,5.913e-05,8.869253e-05
16.6,22.8,0.001212,0.0003207,1.212e-05,1.817646e-05
22.8,41.9,0.0005333,0.00011,5.333e-06,7.999435e-06
1.0,1.33,2.507,0.3035,0.0376,0.07269976
1.33,1.71,1.665,0.169,0.02164,0.04494762
1.71,2.15,1.226,0.1116,0.01349,0.02942769
2.15,2.97,0.6104,0.04915,0.006104,0.01220851
2.97,4.02,0.271,0.02436,0.00271,0.004064462
4.02,5.9,0.1085,0.009816,0.001085,0.001628055
5.9,7.09,0.05027,0.007037,0.0005027,0.0007540766
7.09,8.48,0.02227,0.00413,0.0002227,0.0003340379
8.48,11.0,0.01117,0.002042,0.0001117,0.0001675903
11.0,16.6,0.003609,0.000739,3.609e-05,5.41369e-05
16.6,22.8,0.001224,0.0003489,1.224e-05,1.836493e-05
22.8,41.9,0.0006196,0.0001322,6.196e-06,9.293616e-06
1.0,1.33,2.016,0.2486,0.03024,0.05845992
1.33,1.71,1.182,0.1366,0.01537,0.03191918
1.71,2.15,1.058,0.09636,0.01164,0.02539618
2.15,2.97,0.6036,0.04494,0.006036,0.01207198
2.97,4.02,0.2241,0.02014,0.002241,0.003362135
4.02,5.9,0.1051,0.008518,0.001051,0.001575901
5.9,7.09,0.04199,0.005892,0.0004199,0.0006298945
7.09,8.48,0.02611,0.00406,0.0002611,0.0003916959
8.48,11.0,0.01591,0.002248,0.0001591,0.0002385795
11.0,16.6,0.004107,0.0007323,4.107e-05,6.160229e-05
16.6,22.8,0.001671,0.0003642,1.671e-05,2.506779e-05
22.8,41.9,0.0004449,9.76e-05,4.449e-06,6.67282e-06
1.0,1.33,2.256,0.2785,0.03384,0.06543327
1.33,1.71,1.341,0.1507,0.01743,0.03620958
1.71,2.15,0.8384,0.08879,0.009223,0.02012189
2.15,2.97,0.5302,0.04312,0.005302,0.01060467
2.97,4.02,0.219,0.02057,0.00219,0.003285236
4.02,5.9,0.09647,0.008705,0.0009647,0.001447092
5.9,7.09,0.0438,0.006559,0.000438,0.0006569743
7.09,8.48,0.02505,0.00434,0.0002505,0.0003757975
8.48,11.0,0.0137,0.002283,0.000137,0.00020546
11.0,16.6,0.005607,0.0009242,5.607e-05,8.409871e-05
16.6,22.8,0.002699,0.0005212,2.699e-05,4.049107e-05
22.8,41.9,0.0005774,0.000145,5.774e-06,8.661164e-06
1.0,1.33,1.824,0.2509,0.02737,0.05290717
1.33,1.71,1.401,0.1509,0.01821,0.03781782
1.71,2.15,0.9218,0.09223,0.01014,0.02212278
2.15,2.97,0.569,0.04268,0.00569,0.01138038
2.97,4.02,0.2379,0.02001,0.002379,0.00356793
4.02,5.9,0.08912,0.007631,0.0008912,0.001336784
5.9,7.09,0.036,0.005259,0.00036,0.000540074
7.09,8.48,0.0244,0.003822,0.000244,0.0003659711
8.48,11.0,0.01349,0.002018,0.0001349,0.0002022965
11.0,16.6,0.004788,0.0007586,4.788e-05,7.18231e-05
16.6,22.8,0.00186,0.0003777,1.86e-05,2.79052e-05
22.8,41.9,0.0005631,0.0001072,5.631e-06,8.44659e-06
1.0,1.33,1.868,0.2267,0.02802,0.05418059
1.33,1.71,1.219,0.1319,0.01585,0.03291391
1.71,2.15,1.1,0.09538,0.0121,0.02640594
2.15,2.97,0.5388,0.04114,0.005388,0.01077528
2.97,4.02,0.2462,0.01988,0.002462,0.003693006
4.02,5.9,0.1047,0.008164,0.001047,0.001571227
5.9,7.09,0.04326,0.005547,0.0004326,0.0006488656
7.09,8.48,0.03035,0.004058,0.0003035,0.0004553235
8.48,11.0,0.01532,0.002096,0.0001532,0.0002298093
11.0,16.6,0.003409,0.0006189,3.409e-05,5.114013e-05
16.6,22.8,0.001871,0.000365,1.871e-05,2.80599e-05
22.8,41.9,0.0003145,7.706e-05,3.145e-06,4.716988e-06
1.0,1.33,2.002,0.2349,0.03003,0.05804949
1.33,1.71,1.393,0.1413,0.01811,0.03760547
1.71,2.15,0.8198,0.08148,0.009017,0.01967415
2.15,2.97,0.5286,0.03958,0.005286,0.01057195
2.97,4.02,0.2414,0.01977,0.002414,0.003620785
4.02,5.9,0.1053,0.008101,0.001053,0.001579877
5.9,7.09,0.05036,0.005956,0.0005036,0.0007553641
7.09,8.48,0.02735,0.003933,0.0002735,0.0004101813
8.48,11.0,0.01032,0.001711,0.0001032,0.0001547324
11.0,16.6,0.004581,0.0007137,4.581e-05,6.871682e-05
16.6,22.8,0.001267,0.0003002,1.267e-05,1.900321e-05
22.8,41.9,0.0004379,9.264e-05,4.379e-06,6.567779e-06
1.0,1.33,2.378,0.2698,0.03566,0.06895131
1.33,1.71,1.349,0.1442,0.01753,0.03641013
1.71,2.15,0.8659,0.09184,0.009525,0.02078099
2.15,2.97,0.4839,0.04133,0.004839,0.009677718
2.97,4.02,0.2957,0.02302,0.002957,0.004436243
4.02,5.9,0.09187,0.007793,0.0009187,0.001378089
5.9,7.09,0.0531,0.006186,0.000531,0.0007965486
7.09,8.48,0.02417,0.00369,0.0002417,0.0003625475
8.48,11.0,0.01541,0.002097,0.0001541,0.0002311347
11.0,16.6,0.004374,0.0006979,4.374e-05,6.561381e-05
16.6,22.8,0.001416,0.0003078,1.416e-05,2.124545e-05
22.8,41.9,0.0004892,9.554e-05,4.892e-06,7.338608e-06
1.0,1.33,2.225,0.2436,0.03337,0.06451284
1.33,1.71,1.273,0.1384,0.01655,0.03438061
1.71,2.15,0.9351,0.09089,0.01029,0.02244196
2.15,2.97,0.5763,0.04512,0.005763,0.01152649
2.97,4.02,0.2299,0.02066,0.002299,0.003447872
4.02,5.9,0.09586,0.008248,0.0009586,0.001437895
5.9,7.09,0.03296,0.005209,0.0003296,0.0004944644
7.09,8.48,0.02883,0.004262,0.0002883,0.0004324739
8.48,11.0,0.01629,0.002265,0.0001629,0.0002443531
11.0,16.6,0.004108,0.0007188,4.108e-05,6.162604e-05
16.6,22.8,0.001792,0.0003762,1.792e-05,2.687765e-05
22.8,41.9,0.000412,9.554e-05,4.12e-06,6.179942e-06
1.0,1.33,1.781,0.2347,0.02672,0.05164991
1.33,1.71,1.227,0.1444,0.01595,0.03313588
1.71,2.15,0.8075,0.09043,0.008883,0.01938004
2.15,2.97,0.5382,0.04266,0.005382,0.01076415
2.97,4.02,0.1977,0.0191,0.001977,0.002966057
4.02,5.9,0.09448,0.007939,0.0009448,0.001417186
5.9,7.09,0.04028,0.005545,0.0004028,0.0006041806
7.09,8.48,0.01726,0.003232,0.0001726,0.0002589729
8.48,11.0,0.01085,0.001827,0.0001085,0.0001627196
11.0,16.6,0.004915,0.0007598,4.915e-05,7.372049e-05
16.6,22.8,0.001951,0.0003726,1.951e-05,2.925871e-05
22.8,41.9,0.0004562,9.43e-05,4.562e-06,6.843101e-06
1.0,1.33,1.891,0.2565,0.02837,0.05484374
1.33,1.71,1.01,0.1324,0.01313,0.02727483
1.71,2.15,0.7407,0.08353,0.008148,0.01777683
2.15,2.97,0.5386,0.04404,0.005386,0.01077227
2.97,4.02,0.2247,0.01999,0.002247,0.003371068
4.02,5.9,0.1159,0.008828,0.001159,0.001738713
5.9,7.09,0.02994,0.00479,0.0002994,0.0004490462
7.09,8.48,0.02188,0.003587,0.0002188,0.0003281985
8.48,11.0,0.01174,0.001873,0.0001174,0.0001761295
11.0,16.6,0.005298,0.0007773,5.298e-05,7.947478e-05
16.6,22.8,0.001632,0.0003376,1.632e-05,2.448007e-05
22.8,41.9,0.0004711,0.0001133,4.711e-06,7.067034e-06
1.0,1.33,2.071,0.2726,0.03107,0.06006608
1.33,1.71,1.468,0.1666,0.01908,0.03962337
1.71,2.15,0.8839,0.09801,0.009723,0.02121368
2.15,2.97,0.4321,0.04091,0.004321,0.008642539
2.97,4.02,0.2404,0.02178,0.002404,0.003606067
4.02,5.9,0.1091,0.008834,0.001091,0.001637135
5.9,7.09,0.03773,0.005542,0.0003773,0.0005660117
7.09,8.48,0.02924,0.004217,0.0002924,0.000438545
8.48,11.0,0.01173,0.001922,0.0001173,0.0001760246
11.0,16.6,0.005581,0.0008129,5.581e-05,8.371353e-05
16.6,22.8,0.001661,0.0003566,1.661e-05,2.491762e-05
22.8,41.9,0.0004535,9.601e-05,4.535e-06,6.802331e-06
1.0,1.33,2.142,0.2643,0.03213,0.06210932
1.33,1.71,1.181,0.1364,0.01535,0.03188896
1.71,2.15,0.8429,0.09176,0.009272,0.02023041
2.15,2.97,0.5441,0.04316,0.005441,0.0108822
2.97,4.02,0.242,0.02074,0.00242,0.00363052
4.02,5.9,0.1087,0.008459,0.001087,0.001630327
5.9,7.09,0.04361,0.005661,0.0004361,0.0006542183
7.09,8.48,0.02558,0.003819,0.0002558,0.0003836983
8.48,11.0,0.014,0.002025,0.00014,0.0002100349
11.0,16.6,0.004376,0.0007018,4.376e-05,6.563589e-05
16.6,22.8,0.001476,0.0003339,1.476e-05,2.21414e-05
22.8,41.9,0.0005052,0.0001007,5.052e-06,7.577848e-06
1.0,1.33,2.296,0.25,0.03443,0.06657278
1.33,1.71,1.61,0.1541,0.02093,0.04346444
1.71,2.15,1.08,0.09774,0.01188,0.02590961
2.15,2.97,0.5837,0.04382,0.005837,0.0116746
2.97,4.02,0.2428,0.02038,0.002428,0.003641305
4.02,5.9,0.09277,0.007861,0.0009277,0.001391514
5.9,7.09,0.0371,0.005258,0.000371,0.0005565504
7.09,8.48,0.02477,0.003792,0.0002477,0.0003715443
8.48,11.0,0.01538,0.002128,0.0001538,0.0002306959
11.0,16.6,0.004933,0.0007567,4.933e-05,7.399599e-05
16.6,22.8,0.001632,0.000336,1.632e-05,2.44788e-05
22.8,41.9,0.0006416,0.0001102,6.416e-06,9.62375e-06
1.0,1.33,2.256,0.2475,0.03384,0.06542946
1.33,1.71,1.41,0.1452,0.01833,0.03806327
1.71,2.15,1.038,0.09858,0.01142,0.0249102
2.15,2.97,0.4796,0.0409,0.004796,0.00959253
2.97,4.02,0.294,0.02354,0.00294,0.004410065
4.02,5.9,0.09302,0.008111,0.0009302,0.001395341
5.9,7.09,0.04135,0.005676,0.0004135,0.0006202028
7.09,8.48,0.02899,0.00416,0.0002899,0.0004348927
8.48,11.0,0.01583,0.002201,0.0001583,0.0002374114
11.0,16.6,0.005438,0.0008128,5.438e-05,8.156258e-05
16.6,22.8,0.0017,0.0003568,1.7e-05,2.549962e-05
22.8,41.9,0.0003336,8.175e-05,3.336e-06,5.004345e-06
1.0,1.33,2.179,0.2619,0.03269,0.06320022
1.33,1.71,1.322,0.1435,0.01719,0.03569264
1.71,2.15,0.9069,0.09121,0.009976,0.02176508
2.15,2.97,0.5859,0.04316,0.005859,0.01171895
2.97,4.02,0.2598,0.02077,0.002598,0.003897738
4.02,5.9,0.09653,0.007898,0.0009653,0.001447986
5.9,7.09,0.04886,0.006108,0.0004886,0.0007328544
7.09,8.48,0.02638,0.003894,0.0002638,0.0003956496
8.48,11.0,0.0137,0.002033,0.000137,0.0002054927
11.0,16.6,0.003992,0.0006766,3.992e-05,5.987279e-05
16.6,22.8,0.001648,0.0003481,1.648e-05,2.471775e-05
22.8,41.9,0.0002686,7.159e-05,2.686e-06,4.028776e-06
1.0,1.33,2.425,0.2535,0.03637,0.0703236
1.33,1.71,1.797,0.1643,0.02336,0.04851761
1.71,2.15,1.032,0.0971,0.01135,0.02476074
2.15,2.97,0.467,0.0395,0.00467,0.009339814
2.97,4.02,0.2287,0.01977,0.002287,0.003430299
4.02,5.9,0.09256,0.007797,0.0009256,0.001388401
5.9,7.09,0.03701,0.005228,0.0003701,0.0005551238
7.09,8.48,0.02766,0.004012,0.0002766,0.0004149405
8.48,11.0,0.01357,0.002004,0.0001357,0.0002036197
11.0,16.6,0.006592,0.0008607,6.592e-05,9.887375e-05
16.6,22.8,0.001907,0.0003738,1.907e-05,2.859817e-05
22.8,41.9,0.0005675,0.000104,5.675e-06,8.512462e-06
1.0,1.33,1.824,0.2286,0.02735,0.05288602
1.33,1.71,1.923,0.17,0.025,0.05193114
1.71,2.15,1.057,0.09653,0.01163,0.02537469
2.15,2.97,0.4472,0.03871,0.004472,0.008943689
2.97,4.02,0.2522,0.02075,0.002522,0.003782829
4.02,5.9,0.1032,0.008133,0.001032,0.001548474
5.9,7.09,0.04638,0.005744,0.0004638,0.0006956983
7.09,8.48,0.02813,0.003959,0.0002813,0.0004219165
8.48,11.0,0.01434,0.002024,0.0001434,0.0002151109
11.0,16.6,0.004407,0.0007001,4.407e-05,6.610662e-05
16.6,22.8,0.002167,0.0003976,2.167e-05,3.251029e-05
22.8,41.9,0.0004261,9.259e-05,4.261e-06,6.392075e-06
1.0,1.33,2.432,0.2556,0.03648,0.07053039
1.33,1.71,1.543,0.1493,0.02006,0.04165673
1.71,2.15,0.8948,0.08886,0.009843,0.02147504
2.15,2.97,0.5119,0.04136,0.005119,0.0102386
2.97,4.02,0.2157,0.01943,0.002157,0.003234945
4.02,5.9,0.1101,0.008439,0.001101,0.001651991
5.9,7.09,0.04865,0.005964,0.0004865,0.0007297779
7.09,8.48,0.01706,0.003167,0.0001706,0.0002559615
8.48,11.0,0.01104,0.001808,0.0001104,0.0001656153
11.0,16.6,0.004295,0.0007001,4.295e-05,6.442469e-05
16.6,22.8,0.002009,0.0003899,2.009e-05,3.014055e-05
22.8,41.9,0.0005926,0.0001058,5.926e-06,8.888855e-06
1.0,1.33,2.601,0.2809,0.03902,0.07543574
1.33,1.71,1.752,0.1671,0.02277,0.04729427
1.71,2.15,1.107,0.102,0.01218,0.02656653
2.15,2.97,0.4589,0.03972,0.004589,0.009177472
2.97,4.02,0.2464,0.02119,0.002464,0.003696582
4.02,5.9,0.1095,0.008635,0.001095,0.001642506
5.9,7.09,0.05049,0.006163,0.0005049,0.0007574249
7.09,8.48,0.02752,0.004066,0.0002752,0.0004128698
8.48,11.0,0.01273,0.001957,0.0001273,0.0001909441
11.0,16.6,0.005705,0.0008111,5.705e-05,8.557232e-05
16.6,22.8,0.001485,0.0003336,1.485e-05,2.22734e-05
22.8,41.9,0.0004024,8.868e-05,4.024e-06,6.036143e-06
1.0,1.33,1.745,0.3316,0.02618,0.0506182
1.33,1.71,1.379,0.196,0.01792,0.03722278
1.71,2.15,1.114,0.1329,0.01225,0.02672429
2.15,2.97,0.5199,0.05307,0.005199,0.01039757
2.97,4.02,0.2787,0.02688,0.002787,0.004180399
4.02,5.9,0.1052,0.009689,0.001052,0.001577612
5.9,7.09,0.04358,0.006412,0.0004358,0.0006537325
7.09,8.48,0.02943,0.004565,0.0002943,0.0004415069
8.48,11.0,0.0145,0.002318,0.000145,0.0002174607
11.0,16.6,0.005741,0.0008794,5.741e-05,8.611462e-05
16.6,22.8,0.001905,0.0004109,1.905e-05,2.858076e-05
22.8,41.9,0.0003493,9.361e-05,3.493e-06,5.239991e-06
1.0,1.33,2.089,0.2743,0.03133,0.06056926
1.33,1.71,1.622,0.1702,0.02108,0.04378487
1.71,2.15,1.024,0.1036,0.01126,0.02457529
